epoch,reward_mean,reward_std,latency_mean,latency_std,deadline_violations,offload_ratio,cache_hit_ratio,policy_loss,value_loss,entropy_loss,total_loss
1,-5.098548338660252,6.766150761904664,1.3296274402227521,3.1098977198705984,37.689208984375,0.0,0.0,4.0523816520969075e-05,394.9980305989583,0.06929324865341187,197.4983642578125
2,-5.122410476228838,6.765141088143022,1.3362471461507126,3.0817490304784463,37.86163330078125,0.0,0.0,-4.7496830423673e-06,400.4258138020834,0.06928412516911825,200.21221516927082
3,-5.111183172696346,6.746933241772129,1.3294448914463455,3.0571611807985812,37.8173828125,0.0,0.0,3.784669873615106e-05,368.7617106119792,0.069271981716156,184.3801961263021
4,-5.028534111552915,6.693643561020115,1.293945488506039,2.9953551768527906,37.34588623046875,0.0,0.0,2.7260230854153634e-05,376.4677734375,0.06925657192866008,188.23321940104165
5,-5.108103149054292,6.766759870640569,1.3359779049136669,3.08957506055415,37.72125244140625,0.0,0.0,1.382577853898207e-05,392.1522216796875,0.06923790176709493,196.075439453125
6,-4.991777319780022,6.694867220925662,1.291368384233147,3.0117480570932447,37.00408935546875,0.0,0.0,7.848087698221206e-05,347.6062337239583,0.0692189613978068,173.80249837239583
7,-5.031454941374881,6.764820591390979,1.3182286230155067,3.1066607993086195,37.13226318359375,0.0,0.0,5.34782496591409e-05,357.11533203125,0.06919737259546915,178.55702311197916
8,-5.125045192142023,6.739209218053833,1.330642115970148,3.04479414036437,37.94403076171875,0.0,0.0,7.386333309113979e-05,374.29041341145836,0.0691763977209727,187.1445963541667
9,-4.978382827651431,6.703744397231283,1.2888076323389308,3.0280335497337663,36.895751953125,0.0,0.0,7.325198190907638e-05,352.34501953125,0.06915145119031271,176.17189534505206
10,-5.062270516977507,6.729399127347299,1.3072351165868825,3.050335910086093,37.55035400390625,0.0,0.0,6.748718830446403e-05,336.7388590494792,0.0691275159517924,168.36880289713545
